               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.027987,            0.012888,           0.0055392,             0.95462,             0.86828,               0.995,             0.77143,            0.022394,           0.0046883,           0.0042632,            0.005677,            0.005677,            0.005677
                 133,            0.026305,            0.012178,           0.0048516,             0.95366,             0.86992,               0.995,             0.78443,            0.023774,           0.0045328,           0.0040276,            0.005644,            0.005644,            0.005644
                 134,            0.026388,            0.011417,           0.0041041,             0.92616,             0.88726,               0.995,             0.79777,            0.023196,           0.0044637,           0.0039469,            0.005611,            0.005611,            0.005611
                 135,            0.028018,            0.011375,           0.0052381,             0.95182,             0.88889,               0.995,             0.83385,            0.020672,           0.0041471,            0.003828,            0.005578,            0.005578,            0.005578
                 136,            0.025648,             0.01235,           0.0048392,             0.95398,             0.88494,               0.995,             0.81171,            0.020445,           0.0041313,           0.0038426,            0.005545,            0.005545,            0.005545
                 137,            0.026332,            0.011905,           0.0050084,             0.95462,             0.88203,               0.995,             0.84552,            0.021909,           0.0040975,           0.0039478,            0.005512,            0.005512,            0.005512
                 138,            0.026623,            0.011831,           0.0051777,             0.94909,             0.86982,               0.995,             0.78438,            0.020074,           0.0041294,           0.0038645,            0.005479,            0.005479,            0.005479
                 139,            0.026109,            0.011771,           0.0045804,             0.95771,             0.87302,               0.995,             0.77847,            0.021288,           0.0043988,            0.004622,            0.005446,            0.005446,            0.005446
                 140,            0.028176,            0.012328,           0.0057916,             0.94204,             0.87248,               0.995,              0.7685,             0.02544,           0.0045156,           0.0052104,            0.005413,            0.005413,            0.005413
                 141,            0.027113,            0.013374,           0.0046453,             0.96087,             0.86189,               0.995,             0.78863,            0.022056,           0.0045352,           0.0041302,             0.00538,             0.00538,             0.00538
                 142,            0.026925,            0.013061,           0.0054401,             0.95468,             0.86359,               0.995,             0.79991,            0.023001,           0.0043449,           0.0039654,            0.005347,            0.005347,            0.005347
                 143,            0.028348,            0.012249,           0.0047809,             0.91951,             0.86078,             0.98944,             0.78348,            0.023264,           0.0044127,           0.0042237,            0.005314,            0.005314,            0.005314
                 144,            0.026785,            0.011689,           0.0046784,             0.95941,             0.83964,             0.98944,             0.76922,            0.021522,            0.004272,           0.0040512,            0.005281,            0.005281,            0.005281
                 145,            0.026893,            0.012103,           0.0044375,             0.96398,             0.84328,               0.995,              0.7939,            0.022375,           0.0043745,           0.0039577,            0.005248,            0.005248,            0.005248
